batch,university,tto_name,tto_url,contact,phone,email,address,evidence_url,notes
首批,新疆大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单
第二批,北京交通大学,北京交通大学技术转移中心,http://tt.bjtu.edu.cn/,,,,北京市海淀区上园村3号北京交通大学8号办公楼,https://kyy.bjtu.edu.cn/cms/item/203.html,科研院页面给出技术转移中心官网和地址
第二批,华北电力大学,,,,,,,https://www.moe.gov.cn/srcsite/A16/s3336/202009/t20200908_486338.html,教育部第二批基地名单
第二批,北京航空航天大学,,,,,,,https://www.moe.gov.cn/srcsite/A16/s3336/202009/t20200908_486338.html,教育部第二批基地名单
第二批,燕山大学,,,,,,,https://www.moe.gov.cn/srcsite/A16/s3336/202009/t20200908_486338.html,教育部第二批基地名单
第二批,哈尔滨工业大学,哈尔滨工业大学国内合作处/技术转移中心,https://gnc.hit.edu.cn/,,,,黑龙江省哈尔滨市南岗区西大直街92号,https://gnc.hit.edu.cn/jszy/list3.htm,国内合作处/技术转移中心官网技术转移栏目含联系地址
第二批,哈尔滨工程大学,科学技术研究院/成果转化,https://kjc.hrbeu.edu.cn/,,0451-82519414,,哈尔滨市南岗区南通大街145号哈尔滨工程大学1号楼,https://kjc.hrbeu.edu.cn/bmgk/lxwm.htm,科学技术研究院联系方式页含电话和地址
第二批,复旦大学,科学技术研究院技术转移中心,https://ist.fudan.edu.cn/Data/View/3276,,,,,https://ist.fudan.edu.cn/Data/View/3276,部门设置页含职责与人员联系方式
第二批,同济大学,,,,,,,https://www.moe.gov.cn/srcsite/A16/s3336/202009/t20200908_486338.html,教育部第二批基地名单
第二批,华东理工大学,华东理工大学国家技术转移中心,,,,,,https://www.moe.gov.cn/jyb_xwfb/xw_zt/moe_357/s3581/moe_2700/moe_2712/tnull_48342.html,教育部报道称其为首批建设国家技术转移中心高校之一
第二批,上海大学,,,,,,,https://www.moe.gov.cn/srcsite/A16/s3336/202009/t20200908_486338.html,教育部第二批基地名单
第二批,南京大学,南京大学技术转移中心,https://ttc.nju.edu.cn/,,,sc@nju.edu.cn,南大科学园国家双创示范基地2号楼3层,https://ttc.nju.edu.cn/88/74/c11256a493684/page.htm,学校新闻含地址、邮箱
第二批,中国矿业大学,,,,,,,https://www.moe.gov.cn/srcsite/A16/s3336/202009/t20200908_486338.html,教育部第二批基地名单
第二批,中国药科大学,,,,,,,https://www.moe.gov.cn/srcsite/A16/s3336/202009/t20200908_486338.html,教育部第二批基地名单
第二批,南京航空航天大学,,,,,,,https://www.moe.gov.cn/srcsite/A16/s3336/202009/t20200908_486338.html,教育部第二批基地名单
第二批,杭州电子科技大学,,,,,,,https://www.moe.gov.cn/srcsite/A16/s3336/202009/t20200908_486338.html,教育部第二批基地名单
第二批,中国科学技术大学,中国科学技术大学技术转移中心,https://iat.ustc.edu.cn/iat/x185/,,,,,https://iat.ustc.edu.cn/iat/x185/,先研院页面列出中国科学技术大学技术转移中心
第二批,厦门大学,厦门大学产业技术研究院/科技成果转移转化中心,https://itri.xmu.edu.cn/index.php?a=lists&c=index&catid=73&m=content,,0592-2189086,cyjsyjy@xmu.edu.cn,厦门大学产业技术研究院,https://itri.xmu.edu.cn/index.php?a=lists&c=index&catid=73&m=content,产业技术研究院科技成果转化页面含联系电话和邮箱
第二批,青岛科技大学,,,,,,,https://www.moe.gov.cn/srcsite/A16/s3336/202009/t20200908_486338.html,教育部第二批基地名单
第二批,华中科技大学,华中科技大学国家技术转移中心,https://iat.hust.edu.cn/index.htm,,,,,https://iat.hust.edu.cn/index.htm,官网首页
第二批,武汉理工大学,,,,,,,https://www.moe.gov.cn/srcsite/A16/s3336/202009/t20200908_486338.html,教育部第二批基地名单
第二批,暨南大学,,,,,,,https://www.moe.gov.cn/srcsite/A16/s3336/202009/t20200908_486338.html,教育部第二批基地名单
第二批,重庆大学,重庆大学技术转移研究院,https://itt.cqu.edu.cn/,,,,,https://itt.cqu.edu.cn/,技术转移研究院官网
第二批,西安电子科技大学,西安电子科技大学技术转移中心,https://info.xidian.edu.cn/info/1014/24055.htm,,,,,https://info.xidian.edu.cn/info/1014/24055.htm,学校综合信息网报道技术转移中心获批西安市技术转移示范机构
